epoch,train_loss,dev_loss,train_enemy_observed_loss,train_enemy_fogged_loss,train_enemy_future_loss,train_delimiter_loss,train_end_loss,train_pad_loss,train_win_loss_loss,dev_enemy_observed_loss,dev_enemy_fogged_loss,dev_enemy_future_loss,dev_delimiter_loss,dev_end_loss,dev_pad_loss,dev_win_loss_loss,train_t_bucket_loss_t_eq_1,train_t_bucket_loss_t_0_75_to_1_0,train_t_bucket_loss_t_0_25_to_0_75,train_t_bucket_loss_t_0_0_to_0_25,dev_t_bucket_loss_t_eq_1,dev_t_bucket_loss_t_0_75_to_1_0,dev_t_bucket_loss_t_0_25_to_0_75,dev_t_bucket_loss_t_0_0_to_0_25,train_perspective_loss_p1,train_perspective_loss_p2,dev_perspective_loss_p1,dev_perspective_loss_p2,train_canvas_state_loss_ground_truth_preserved,train_canvas_state_loss_noised,dev_canvas_state_loss_ground_truth_preserved,dev_canvas_state_loss_noised,train_rare_class_loss_win_loss_t_eq_1,train_rare_class_loss_win_loss_t_0_75_to_1_0,train_rare_class_loss_win_loss_t_0_25_to_0_75,train_rare_class_loss_win_loss_t_0_0_to_0_25,train_rare_class_loss_end_t_eq_1,train_rare_class_loss_end_t_0_75_to_1_0,train_rare_class_loss_end_t_0_25_to_0_75,train_rare_class_loss_end_t_0_0_to_0_25,train_rare_class_loss_delimiter_t_eq_1,train_rare_class_loss_delimiter_t_0_75_to_1_0,train_rare_class_loss_delimiter_t_0_25_to_0_75,train_rare_class_loss_delimiter_t_0_0_to_0_25,dev_rare_class_loss_win_loss_t_eq_1,dev_rare_class_loss_win_loss_t_0_75_to_1_0,dev_rare_class_loss_win_loss_t_0_25_to_0_75,dev_rare_class_loss_win_loss_t_0_0_to_0_25,dev_rare_class_loss_end_t_eq_1,dev_rare_class_loss_end_t_0_75_to_1_0,dev_rare_class_loss_end_t_0_25_to_0_75,dev_rare_class_loss_end_t_0_0_to_0_25,dev_rare_class_loss_delimiter_t_eq_1,dev_rare_class_loss_delimiter_t_0_75_to_1_0,dev_rare_class_loss_delimiter_t_0_25_to_0_75,dev_rare_class_loss_delimiter_t_0_0_to_0_25,train_rare_class_count_win_loss_t_eq_1,train_rare_class_count_win_loss_t_0_75_to_1_0,train_rare_class_count_win_loss_t_0_25_to_0_75,train_rare_class_count_win_loss_t_0_0_to_0_25,train_rare_class_count_end_t_eq_1,train_rare_class_count_end_t_0_75_to_1_0,train_rare_class_count_end_t_0_25_to_0_75,train_rare_class_count_end_t_0_0_to_0_25,train_rare_class_count_delimiter_t_eq_1,train_rare_class_count_delimiter_t_0_75_to_1_0,train_rare_class_count_delimiter_t_0_25_to_0_75,train_rare_class_count_delimiter_t_0_0_to_0_25,dev_rare_class_count_win_loss_t_eq_1,dev_rare_class_count_win_loss_t_0_75_to_1_0,dev_rare_class_count_win_loss_t_0_25_to_0_75,dev_rare_class_count_win_loss_t_0_0_to_0_25,dev_rare_class_count_end_t_eq_1,dev_rare_class_count_end_t_0_75_to_1_0,dev_rare_class_count_end_t_0_25_to_0_75,dev_rare_class_count_end_t_0_0_to_0_25,dev_rare_class_count_delimiter_t_eq_1,dev_rare_class_count_delimiter_t_0_75_to_1_0,dev_rare_class_count_delimiter_t_0_25_to_0_75,dev_rare_class_count_delimiter_t_0_0_to_0_25,average_input_timesteps,average_enemy_future_timesteps,input_timestep_p50,input_timestep_p90,input_timestep_p95,enemy_future_timestep_p50,enemy_future_timestep_p90,enemy_future_timestep_p95,train_enemy_future_loss_distance_1,train_enemy_future_loss_distance_2_5,train_enemy_future_loss_distance_6_10,train_enemy_future_loss_distance_11_30,train_enemy_future_loss_distance_31_plus,dev_enemy_future_loss_distance_1,dev_enemy_future_loss_distance_2_5,dev_enemy_future_loss_distance_6_10,dev_enemy_future_loss_distance_11_30,dev_enemy_future_loss_distance_31_plus,total_tokens_ingested,total_unique_tokens_seen,tokens_per_second,wall_clock_elapsed_seconds,average_cuda_device_memory_used_bytes,average_cuda_device_memory_gap_bytes
1,1.07145959,0.512085329,1.029925259,1.030325428,1.070384835,2.29607717,2.522356374,1.412472964,5.345378856,0.483751573,0.488241164,0.519772927,1.598152133,0.935787646,0.672268359,2.610151612,2.775303026,1.353031054,0.697923687,0.370382582,2.078310935,0.70761006,0.168792984,0.043947819,1.061368342,1.063964602,0.53353949,0.430166832,0.312086859,1.391509772,0.03154616,0.669872688,7.963242715,6.398113611,4.440387047,2.962846797,6.786634919,3.072250713,1.792686607,1.479361573,4.074694158,3.085838924,1.604301096,0.712297199,6.855785171,3.621179095,1.539663301,0.438078232,5.557475411,1.298062357,0.195172071,0.051279692,4.056482699,2.412917033,0.71314125,0.11091321,2176,17784,20407,2495,289,2571,2972,365,119915,1000295,1150602,139457,167,1433,1636,188,23,165,236,27,9875,81976,94966,10125,25.36101908,30.87221782,17,53,71,21,65,80,1.025821921,1.025822462,1.032473751,1.067328178,1.211653756,0.392616771,0.395448304,0.418698409,0.550495471,0.833354174,282131265,186,14600.28435,19647.0292,6642088620,1184366592
2,0.440214482,0.393046329,0.411892314,0.407920589,0.444277358,1.316524014,0.991538966,0.455471329,1.010128547,0.364779095,0.374831375,0.401515651,1.34373694,0.665052416,0.478451907,0.393061325,2.03703638,0.623608931,0.130039819,0.030525941,1.899098662,0.508236461,0.103566794,0.021719714,0.423090463,0.427802064,0.415231131,0.311956047,0.023728468,0.595414109,0.020364065,0.509059155,3.116869512,1.275551686,0.646094094,0.227602627,6.019572019,1.347310212,0.201886585,0.060474871,3.937931356,2.049266434,0.50613419,0.066758535,0.861741604,0.475683455,0.301900986,0.100858004,4.804467436,1.145481092,0.087238097,0.003214115,4.035638107,1.959692082,0.464616774,0.047446076,2155,17989,20225,2493,331,2620,2902,344,124535,1011545,1132699,141490,177,1445,1616,186,18,190,216,27,10112,83355,91736,11739,25.36101908,30.87221782,17,53,71,21,65,80,0.393007629,0.393257382,0.401584993,0.452580671,0.592716101,0.310748088,0.310029859,0.330939643,0.42535962,0.617219495,564236422,186,14431.65364,39502.80872,6844300421,1242427436
3,0.365212629,0.348955555,0.33973997,0.334584882,0.370484229,1.124100791,0.856270934,0.361904898,0.4009032,0.328279476,0.32674583,0.352324942,1.181963946,0.924225273,0.453388239,0.31987324,2.011186714,0.511350889,0.085619284,0.016851646,1.921404143,0.466984059,0.077676071,0.017930193,0.35770715,0.349831688,0.39058454,0.275702058,0.016372228,0.49490962,0.018711666,0.458579058,0.833446974,0.49548749,0.309504652,0.121033459,5.920282999,1.168215987,0.139500049,0.014942922,3.95666489,1.804214344,0.345480449,0.030550113,0.457197705,0.408883644,0.252022566,0.108243099,5.13002521,0.963298386,0.127945681,0.005439406,3.949875308,1.861647583,0.351848621,0.029245723,2136,17688,20433,2605,324,2572,2944,357,120902,997289,1147871,144207,173,1440,1612,199,33,185,206,27,10109,82632,91696,12505,25.36101908,30.87221782,17,53,71,21,65,80,0.328352876,0.328538923,0.337182135,0.375701613,0.486742338,0.264914405,0.266976897,0.289050033,0.372033834,0.587480057,846334955,186,14444.45535,59332.26625,6799608985,1223801484
4,0.324006768,0.328392814,0.299623045,0.294957044,0.330325172,1.002973736,0.787953104,0.299820271,0.337449483,0.305249018,0.303903804,0.337616964,1.097602526,0.765512475,0.362063838,0.311677119,1.927752158,0.442735369,0.063508348,0.011351763,1.893050155,0.422259691,0.061049744,0.012421301,0.308733585,0.315098088,0.346159251,0.272137724,0.013756992,0.435835656,0.016885631,0.421284186,0.629991131,0.421733701,0.263604153,0.092239905,5.586558716,1.04728175,0.119610873,0.020280681,3.960056418,1.628395624,0.255183968,0.018881774,0.464330697,0.380092379,0.259079211,0.101153974,6.15258285,0.885258882,0.080811274,0.003544972,3.939014936,1.689388539,0.252588615,0.01833858,2159,17740,20445,2518,322,2523,3010,342,118361,991773,1162181,137954,179,1429,1632,184,21,221,190,19,11082,85900,90024,9936,25.36101908,30.87221782,17,53,71,21,65,80,0.292395698,0.293971027,0.301615724,0.335085081,0.429835227,0.253273582,0.253852881,0.270212121,0.340970142,0.54262549,1128379722,186,14549.65949,79012.54295,6771557002,1208745270
5,0.300636997,0.299808491,0.276390694,0.274522492,0.306753296,0.931831843,0.744512018,0.274264121,0.312979073,0.273966672,0.279700837,0.307140909,1.035583077,0.651546494,0.287451187,0.296981755,1.928652672,0.410433809,0.05078949,0.008636348,1.785838159,0.391757134,0.051185765,0.007842382,0.296030752,0.285059425,0.306539942,0.251562723,0.012076684,0.406393995,0.014418258,0.385658933,0.562916136,0.389774497,0.24782102,0.0859386,5.760779324,0.972942757,0.100959993,0.016955265,3.882862397,1.499633575,0.205933495,0.013724501,0.485225982,0.387002042,0.224761076,0.075382196,5.252810061,0.863518333,0.070307157,0.002141258,4.097040615,1.623584804,0.240701949,0.013160261,2174,17758,20381,2549,308,2582,2962,345,124729,1000849,1139809,144882,164,1448,1612,200,16,200,208,27,8881,84106,92374,11581,25.36101908,30.87221782,17,53,71,21,65,80,0.272240175,0.27580467,0.281611836,0.307147067,0.402154994,0.238169882,0.238046066,0.250737796,0.314834594,0.485075432,1410489834,186,14543.2986,98710.08126,6917434385,1239482641
6,0.278940747,0.290641072,0.256451365,0.254381783,0.284021597,0.868242466,0.743722358,0.251512808,0.296894905,0.264073824,0.269216994,0.296944464,1.010307398,0.769663873,0.290771098,0.285085608,1.904952072,0.382240729,0.042929239,0.006761864,1.808329874,0.364804788,0.043715644,0.008634487,0.270955773,0.268210811,0.327096889,0.240091642,0.010774129,0.377556509,0.014329527,0.378617084,0.511332931,0.37619829,0.233588606,0.080616229,5.571137769,0.965728343,0.091915951,0.010373198,3.940288834,1.413764599,0.174515823,0.009533384,0.407838718,0.357509248,0.231684421,0.087256128,5.13574002,0.913879851,0.043549749,0.00361347,3.883993186,1.549704231,0.187691571,0.009543984,2068,17716,20542,2536,327,2584,2937,349,113290,997242,1157156,142581,184,1441,1589,210,33,177,215,26,11521,84024,89643,11754,25.36101908,30.87221782,17,53,71,21,65,80,0.252429263,0.254790755,0.261012963,0.284208759,0.371317172,0.222792877,0.222630325,0.239962946,0.313313291,0.489874219,1692427078,186,14477.98998,118495.0844,6663712110,1184704297
7,0.268651487,0.277462337,0.248968987,0.242335294,0.2742734,0.84006307,0.716224622,0.23127021,0.28039452,0.244326289,0.256744947,0.288191711,0.942970167,0.619222198,0.281897969,0.279229683,1.874436405,0.354061084,0.037794013,0.005945172,1.844936454,0.353692373,0.04049325,0.006704596,0.262954438,0.261413837,0.288504266,0.228166342,0.01008423,0.361278587,0.011920265,0.360160671,0.484438425,0.353150389,0.222585308,0.068478537,5.640342397,0.934094757,0.101044694,0.004317923,3.932854993,1.335187021,0.149531768,0.008627012,0.402503364,0.356485382,0.227508874,0.079686923,5.280480036,0.748842956,0.039170635,0.0011854,3.890290584,1.457728532,0.166945693,0.005436486,2178,17634,20487,2563,312,2551,2977,357,122892,994793,1148933,143651,179,1382,1647,216,26,178,209,38,11185,79006,94082,12669,25.36101908,30.87221782,17,53,71,21,65,80,0.240671075,0.241943066,0.249780808,0.278936044,0.361055192,0.227963777,0.232015753,0.23956281,0.28778326,0.467791861,1974468319,186,14394.73823,138394.9511,6562520085,1184366592
8,0.262419706,0.257919569,0.241852556,0.236570761,0.268511885,0.810402807,0.707692317,0.236304006,0.278329676,0.230814291,0.240477052,0.26653916,0.877634014,0.561842447,0.269642356,0.273085636,1.874421684,0.346265024,0.033990431,0.004695339,1.852994669,0.325518568,0.034883141,0.007388429,0.257780104,0.250596114,0.273155333,0.20550887,0.009577268,0.353998168,0.011064724,0.337503801,0.516122147,0.348689866,0.215668021,0.080089184,5.618904229,0.919700957,0.08660384,0.005915082,3.871422652,1.291425043,0.133204643,0.007461622,0.369866808,0.364999773,0.213287277,0.050566205,4.826365022,0.75570049,0.102294669,0.005007191,3.838365447,1.371997211,0.135627984,0.010473068,2149,17932,20238,2543,312,2592,2924,369,122562,1006738,1138147,142822,166,1410,1635,213,21,185,221,24,10287,79596,95664,11395,25.36101908,30.87221782,17,53,71,21,65,80,0.237269576,0.237470003,0.246548602,0.271368285,0.353334683,0.203138172,0.208938867,0.223811755,0.27539751,0.417862365,2256476727,186,14456.46053,158202.6131,6722088804,1190144848
9,0.25369439,0.253391049,0.230704415,0.229736162,0.260634008,0.780979607,0.666249921,0.223099757,0.273873263,0.229859844,0.237219864,0.258554168,0.863446661,0.676907363,0.272177869,0.27693672,1.863134934,0.327118255,0.030807691,0.004257097,1.825726772,0.306714167,0.031617862,0.004947485,0.242727529,0.246821735,0.268150823,0.223035448,0.009012425,0.342185637,0.010567596,0.334280091,0.485349561,0.344624664,0.213301822,0.087635161,5.586349161,0.839035226,0.079602101,0.009014326,3.891594758,1.226642317,0.122082531,0.005905604,0.395807356,0.346640709,0.228546297,0.069990525,4.864744248,0.799882988,0.075551816,0.003561216,3.91515338,1.323901759,0.128408509,0.00684063,2199,17694,20381,2588,305,2530,3004,358,126527,994321,1138091,151330,175,1453,1577,219,26,197,202,26,9968,84380,90792,11802,25.36101908,30.87221782,17,53,71,21,65,80,0.229612901,0.231838185,0.240274361,0.264042607,0.339089387,0.204070696,0.204508516,0.214697177,0.265200064,0.407029985,2538569623,186,14487.015,177976.1795,6776488032,1213193606
10,0.247624212,0.230368438,0.224135698,0.226374756,0.254736888,0.767711691,0.656812347,0.204583966,0.26766626,0.210071125,0.20754433,0.237513878,0.791770941,0.709463173,0.263638481,0.275320823,1.842450276,0.313555135,0.028112983,0.003697128,1.87282689,0.29365563,0.03022656,0.004924689,0.244591207,0.234856246,0.247303338,0.189929422,0.008820861,0.3287275,0.009283819,0.310712641,0.460467464,0.342584201,0.205218395,0.068667488,5.416798467,0.879538929,0.075087977,0.002037925,3.86310609,1.187955202,0.113117133,0.004597479,0.399145048,0.371109808,0.206104296,0.07710537,6.122091373,0.717713481,0.032205563,0.002411125,4.036264914,1.211703691,0.117592369,0.004373654,1072,8999,10060,1269,140,1329,1450,178,61103,505348,555948,72703,157,1427,1621,219,21,187,212,31,8131,81363,95790,11658,25.15672897,30.68915888,17,53,70,21,64,79,0.223617826,0.225187142,0.231757638,0.256265445,0.336989294,0.18817766,0.191681209,0.207154169,0.239761515,0.354078153,2820767460,186,14405.58681,10122.79485,6624066363,1184366592
