arm,step_batch,eval_batch,is_self,pre_loss,post_loss,delta_loss,relative_delta
memorization_01_no_regularization,0,0,1,0.08828002214,0.08712937683,0.001150645316,0.01303403973
memorization_01_no_regularization,0,1,0,0.1183338836,0.1184829548,-0.0001490712166,-0.001259750902
memorization_01_no_regularization,0,2,0,0.1129138544,0.113032639,-0.0001187846065,-0.001051993195
memorization_01_no_regularization,0,3,0,0.05232852325,0.05240047723,-7.195398211e-05,-0.001375043239
memorization_01_no_regularization,0,4,0,0.1316577196,0.1315955222,6.219744682e-05,0.000472417774
memorization_01_no_regularization,0,5,0,0.171691224,0.1716992706,-8.046627045e-06,-4.686685119e-05
memorization_01_no_regularization,0,6,0,0.1428161114,0.1427081972,0.0001079142094,0.0007556164936
memorization_01_no_regularization,0,7,0,0.0253787525,0.02541782334,-3.907084465e-05,-0.001539510055
memorization_01_no_regularization,0,8,0,0.02230010368,0.02227919362,2.091005445e-05,0.0009376662434
memorization_01_no_regularization,0,9,0,0.04474551603,0.04480549693,-5.99808991e-05,-0.001340489605
memorization_01_no_regularization,0,10,0,0.4743171334,0.4747708738,-0.0004537403584,-0.0009566181071
memorization_01_no_regularization,0,11,0,0.04759826139,0.04753505439,6.320700049e-05,0.001327926665
memorization_01_no_regularization,0,12,0,0.1839482486,0.184022367,-7.411837578e-05,-0.0004029305869
memorization_01_no_regularization,0,13,0,0.05554549024,0.05556164682,-1.615658402e-05,-0.0002908712113
memorization_01_no_regularization,0,14,0,0.1345883161,0.1345577389,3.057718277e-05,0.0002271904699
memorization_01_no_regularization,0,15,0,0.1666728854,0.1667076051,-3.471970558e-05,-0.0002083104609
memorization_01_no_regularization,0,16,0,0.1797369272,0.179794997,-5.806982517e-05,-0.0003230823298
memorization_01_no_regularization,0,17,0,0.1596544981,0.1594315022,0.0002229958773,0.001396740336
memorization_01_no_regularization,0,18,0,0.09984084964,0.09994148463,-0.0001006349921,-0.001007954084
memorization_01_no_regularization,0,19,0,0.05647678673,0.05644184351,3.4943223e-05,0.000618718327
memorization_01_no_regularization,0,20,0,0.02577907406,0.0259430483,-0.0001639742404,-0.00636074981
memorization_01_no_regularization,0,21,0,0.1375363171,0.137694329,-0.0001580119133,-0.001148874106
memorization_01_no_regularization,0,22,0,0.3221611381,0.321739167,0.0004219710827,0.001309813732
memorization_01_no_regularization,0,23,0,0.01879909076,0.01885521226,-5.612149835e-05,-0.002985330465
