step_batch,eval_batch_0,eval_batch_1,eval_batch_2,eval_batch_3,eval_batch_4,eval_batch_5,eval_batch_6,eval_batch_7,eval_batch_8,eval_batch_9,eval_batch_10,eval_batch_11,eval_batch_12,eval_batch_13,eval_batch_14,eval_batch_15,eval_batch_16,eval_batch_17,eval_batch_18,eval_batch_19,eval_batch_20,eval_batch_21,eval_batch_22,eval_batch_23,eval_batch_24,eval_batch_25,eval_batch_26,eval_batch_27,eval_batch_28,eval_batch_29,eval_batch_30,eval_batch_31,eval_batch_32,eval_batch_33
0,0.001150645316,-0.0001490712166,-0.0001187846065,-7.195398211e-05,6.219744682e-05,-8.046627045e-06,0.0001079142094,-3.907084465e-05,2.091005445e-05,-5.99808991e-05,-0.0004537403584,6.320700049e-05,-7.411837578e-05,-1.615658402e-05,3.057718277e-05,-3.471970558e-05,-5.806982517e-05,0.0002229958773,-0.0001006349921,3.4943223e-05,-0.0001639742404,-0.0001580119133,0.0004219710827,-5.612149835e-05,0.0001381337643,-5.73694706e-05,-0.0001047700644,-2.570450306e-05,0.0001507848501,-4.864484072e-05,2.732872963e-05,0.0001871734858,0.0001953989267,3.019720316e-05
1,9.571015835e-05,0.0004087761045,-0.0001796409488,-7.677823305e-05,6.085634232e-05,4.351139069e-06,9.270012379e-05,2.358108759e-06,4.842877388e-07,-2.74181366e-05,-0.0005992054939,4.493817687e-05,-0.0002007037401,1.467764378e-05,6.061792374e-05,-2.172589302e-05,-4.757940769e-05,0.0001277178526,3.129988909e-05,2.536922693e-05,-8.997134864e-05,-7.152557373e-05,0.0002005696297,-5.159340799e-05,3.24845314e-06,-4.757940769e-05,-0.0001589283347,-2.007186413e-05,0.0002001971006,-5.153566599e-05,-7.227063179e-06,8.013099432e-05,0.0001131594181,3.183633089e-05
2,0.0001253262162,-0.0001486167312,0.000937178731,-0.0001856125891,8.079409599e-05,9.536743164e-07,3.698468208e-05,-3.121048212e-05,-1.571513712e-05,-3.968924284e-05,-0.0002691149712,1.063942909e-05,-0.0001678317785,-1.601502299e-05,7.092952728e-06,-7.489323616e-05,-8.223950863e-05,0.0002687126398,8.620321751e-06,1.223012805e-05,-0.00010641478,-0.0001427084208,0.0001287162304,-5.271285772e-05,8.228421211e-05,-7.296726108e-05,-0.0001666918397,-3.665685654e-05,0.000218257308,-7.182359695e-05,-8.001923561e-06,1.126527786e-05,4.523992538e-05,-1.864880323e-05
3,0.0001150369644,-0.0001407936215,-0.000272385776,0.0002207942307,1.946091652e-05,-1.309812069e-05,0.0001065433025,-4.529580474e-05,1.653656363e-05,-3.732740879e-06,-0.0004481971264,6.768107414e-05,-0.0001606047153,-1.300126314e-06,3.384053707e-05,-1.439452171e-05,-6.586313248e-06,0.0001395642757,5.750358105e-05,1.503154635e-05,-0.0001177899539,-7.952749729e-05,0.000178694725,-5.67547977e-05,0.0001578480005,-5.603954196e-05,-0.0001535788178,-1.810491085e-05,0.0001178979874,-3.851950169e-05,1.706182957e-05,7.035583258e-05,0.0001429095864,7.393956184e-05
4,0.0001536235213,-0.0001102462411,-9.763240814e-05,-0.0001083053648,0.0008729994297,-2.79545784e-05,9.568035603e-05,6.526708603e-06,-9.499490261e-08,-5.710870028e-05,-0.0004875063896,6.077811122e-05,-0.0001731365919,3.157183528e-05,7.817149162e-05,-4.515051842e-05,-5.044043064e-05,0.0001210719347,-1.379847527e-05,3.504008055e-05,-0.0001043062657,-0.0001269727945,0.0001260340214,-6.804056466e-05,9.463727474e-05,-4.583969712e-05,-0.0001564621925,-4.780292511e-05,0.0001460909843,-5.224347115e-05,5.580484867e-06,0.0001474022865,0.0001308321953,7.289648056e-05
5,0.0001042410731,-0.0001376718283,-0.0001897513866,-0.0001013688743,-3.278255463e-06,0.0003650635481,9.082257748e-05,-5.58514148e-05,2.097338438e-06,-2.9373914e-05,-0.0004423260689,5.191192031e-05,-0.0001861006021,5.684792995e-06,3.606081009e-05,1.694262028e-05,4.656612873e-05,0.0001415461302,5.499273539e-05,2.651289105e-05,-0.0001016445458,5.438923836e-06,0.0002190768719,-5.464069545e-05,8.81254673e-05,-5.176663399e-05,-0.0001731291413,3.346800804e-05,0.0002047717571,-4.533678293e-05,-1.829117537e-05,7.117539644e-05,0.0001463517547,1.315772533e-05
6,0.0001163855195,-0.0001534819603,-0.0002402961254,-7.424876094e-05,3.77446413e-05,-1.05202198e-05,0.0005793720484,-6.056949496e-05,1.437589526e-05,-2.36555934e-05,-0.0004590451717,5.448609591e-05,-0.0001981407404,8.702278137e-06,6.863474846e-05,-0.0002210736275,-4.069507122e-05,0.000131636858,3.4943223e-05,9.726732969e-06,-0.0001329630613,-6.23613596e-05,0.0002424120903,-7.470138371e-05,0.0001436173916,-5.138665438e-05,-0.0001647248864,-3.178417683e-05,0.0001580864191,-1.64359808e-05,2.880394459e-05,0.000116199255,0.0001354962587,5.701929331e-05
7,0.0001150220633,-0.0001027137041,-0.0001655519009,-7.717683911e-05,8.216500282e-05,-3.337860107e-06,8.56667757e-05,0.0001501552761,4.334375262e-06,-9.167939425e-06,-0.0004466772079,4.177168012e-05,-0.0001924782991,4.086643457e-06,4.702806473e-05,-6.510317326e-05,-4.367530346e-05,0.0001450628042,2.254545689e-05,2.849474549e-05,-9.571202099e-05,-5.833804607e-05,0.0002522170544,-5.045719445e-05,6.695091724e-05,-3.89739871e-05,-0.000146150589,-1.502037048e-05,0.0001951009035,-5.19528985e-05,1.015514135e-05,9.069591761e-05,0.0001130253077,9.089708328e-06
8,0.0001315027475,-0.0001527443528,-0.0001868084073,-7.126107812e-05,3.834068775e-05,-4.574656487e-06,0.0001138150692,-4.552677274e-05,0.0001021139324,-2.45757401e-05,-0.0004377067089,5.727261305e-05,-0.0001853555441,-2.74926424e-06,4.224479198e-05,-1.545250416e-05,-3.468990326e-05,0.0001538395882,4.173070192e-05,2.513825893e-05,-0.0001157205552,-9.63062048e-05,0.0001803934574,-6.229802966e-05,0.0001356303692,-6.22458756e-05,-0.0001520514488,-1.81645155e-05,0.0001489818096,-3.539025784e-05,2.987682819e-05,0.0001027211547,0.0001223906875,3.830343485e-05
9,9.366124868e-05,-0.0001371949911,-0.0001871064305,-4.233047366e-05,3.445148468e-05,-7.897615433e-07,0.0001105964184,-2.027861774e-05,1.82762742e-05,0.0001974999905,-0.0004555583,6.158277392e-05,-0.0001709461212,6.187707186e-06,4.802644253e-05,-2.640485764e-05,-1.952052116e-05,0.0001576393843,8.375197649e-05,2.455338836e-05,-0.000132329762,1.059472561e-05,0.0002175569534,-5.270726979e-05,0.0001229941845,-5.685910583e-05,-0.0001425147057,-1.029670238e-05,0.0001769214869,-2.978742123e-05,4.192441702e-05,0.0001046583056,0.0001083090901,8.068978786e-05
