arm,step_batch,step_train_loss,self_pre_loss,self_post_loss,self_delta,other_count,other_improved,other_hurt,other_unchanged,mean_other_delta,median_other_delta,sum_other_delta,worst_other_delta,worst_other_batch,best_other_delta,best_other_batch,net_delta_all_batches
memorization_01_no_regularization,0,0.08830219507,0.08828002214,0.08712937683,0.001150645316,33,14,19,0,-3.188227614e-06,-2.570450306e-05,-0.0001052115113,-0.0004537403584,10,0.0004219710827,22,0.001045433804
memorization_01_no_regularization,1,0.1183732301,0.1183338836,0.1179251075,0.0004087761045,33,18,15,0,-1.397762786e-05,2.358108759e-06,-0.0004612617195,-0.0005992054939,10,0.0002005696297,22,-5.248561502e-05
memorization_01_no_regularization,2,0.1129223928,0.1129138544,0.1119766757,0.000937178731,33,14,19,0,-2.031660441e-05,-1.601502299e-05,-0.0006704479456,-0.0002691149712,10,0.0002687126398,17,0.0002667307854
memorization_01_no_regularization,3,0.05238053948,0.05232852325,0.05210772902,0.0002207942307,33,16,17,0,-8.993866769e-06,-1.300126314e-06,-0.0002967976034,-0.0004481971264,10,0.000178694725,22,-7.600337267e-05
memorization_01_no_regularization,4,0.1317381114,0.1316577196,0.1307847202,0.0008729994297,33,15,18,0,-1.415469204e-05,-1.379847527e-05,-0.0004671048373,-0.0004875063896,10,0.0001536235213,0,0.0004058945924
memorization_01_no_regularization,5,0.1716796458,0.171691224,0.1713261604,0.0003650635481,33,19,14,0,-7.017769597e-06,5.684792995e-06,-0.0002315863967,-0.0004423260689,10,0.0002190768719,22,0.0001334771514
memorization_01_no_regularization,6,0.1428204179,0.1428161114,0.1422367394,0.0005793720484,33,16,17,0,-1.993374617e-05,-1.05202198e-05,-0.0006578136235,-0.0004590451717,10,0.0002424120903,22,-7.844157517e-05
memorization_01_no_regularization,7,0.025403101,0.0253787525,0.02522859722,0.0001501552761,33,17,16,0,-7.547720364e-06,4.086643457e-06,-0.000249074772,-0.0004466772079,10,0.0002522170544,22,-9.891949594e-05
memorization_01_no_regularization,8,0.02229921147,0.02230010368,0.02219798975,0.0001021139324,33,15,18,0,-1.034665514e-05,-4.574656487e-06,-0.0003414396197,-0.0004377067089,10,0.0001803934574,22,-0.0002393256873
memorization_01_no_regularization,9,0.04476801679,0.04474551603,0.04454801604,0.0001974999905,33,18,15,0,5.379093416e-07,1.059472561e-05,1.775100827e-05,-0.0004555583,10,0.0002175569534,22,0.0002152509987
memorization_01_no_regularization,10,0.4742944837,0.4743171334,0.4725900888,0.001727044582,33,14,19,0,1.848511624e-05,-1.867488027e-05,0.0006100088358,-0.0002566576004,1,0.001060038805,22,0.002337053418
memorization_01_no_regularization,11,0.04763085768,0.04759826139,0.04736067727,0.0002375841141,33,15,18,0,-9.842612075e-06,-1.439452171e-05,-0.0003248061985,-0.0004486441612,10,0.0001719892025,22,-8.72220844e-05
memorization_01_no_regularization,12,0.1839267313,0.1839482486,0.1829474121,0.001000836492,33,15,18,0,-5.116912e-06,-1.383572817e-05,-0.000168858096,-0.0003199875355,10,0.0002322494984,0,0.0008319783956
memorization_01_no_regularization,13,0.05555005744,0.05554549024,0.05521242321,0.0003330670297,33,17,16,0,-1.035241241e-05,2.475455403e-06,-0.0003416296095,-0.0004550814629,10,0.0002855956554,22,-8.562579751e-06
memorization_01_no_regularization,14,0.1345992833,0.1345883161,0.1338135749,0.0007747411728,33,17,16,0,-5.780239448e-06,6.483867764e-06,-0.0001907479018,-0.0005887150764,10,0.0002504736185,32,0.000583993271
memorization_01_no_regularization,15,0.1666910201,0.1666728854,0.1655001789,0.001172706485,33,18,15,0,-2.155565854e-05,8.333474398e-06,-0.0007113367319,-0.0005402565002,10,0.0001736581326,28,0.0004613697529
memorization_01_no_regularization,16,0.1797168106,0.1797369272,0.1793437302,0.0003931969404,33,19,14,0,1.610962279e-06,2.181529999e-05,5.31617552e-05,-0.0004240572453,10,0.0001553297043,17,0.0004463586956
memorization_01_no_regularization,17,0.159664616,0.1596544981,0.1588924527,0.0007620453835,33,15,18,0,-9.62970609e-06,-8.389353752e-06,-0.000317780301,-0.0004029870033,10,0.0002508983016,0,0.0004442650825
memorization_01_no_regularization,18,0.09980718046,0.09984084964,0.09903051704,0.0008103325963,33,17,16,0,-1.645483302e-05,7.390975952e-06,-0.0005430094898,-0.0003995597363,10,0.0001868009567,22,0.0002673231065
memorization_01_no_regularization,19,0.05650484934,0.05647678673,0.05621481687,0.0002619698644,33,17,16,0,1.676888628e-06,5.498528481e-06,5.533732474e-05,-0.0004027485847,10,0.0002358555794,22,0.0003173071891
memorization_01_no_regularization,20,0.0257808771,0.02577907406,0.02562362514,0.0001554489136,33,16,17,0,-1.073278713e-05,-4.395842552e-06,-0.0003541819751,-0.0003449320793,10,0.0001701116562,22,-0.0001987330616
memorization_01_no_regularization,21,0.1373288929,0.1375363171,0.1361689419,0.001367375255,33,19,14,0,-7.955357432e-06,1.828372478e-05,-0.0002625267953,-0.000441133976,10,0.0002434551716,22,0.001104848459
memorization_01_no_regularization,22,0.3219922483,0.3221611381,0.3187181354,0.003443002701,33,19,14,0,1.222391923e-05,8.940696716e-06,0.0004033893347,-0.0002654120326,2,0.0003439560533,0,0.003846392035
memorization_01_no_regularization,23,0.01879965141,0.01879909076,0.01877621375,2.287700772e-05,33,16,17,0,-1.176006415e-05,-5.513429642e-07,-0.0003880821168,-0.0004287958145,10,0.0001946091652,22,-0.0003652051091
memorization_01_no_regularization,24,0.1292668581,0.1293136775,0.1284506917,0.0008629858494,33,13,20,0,-3.491133226e-05,-3.562867641e-05,-0.001152073964,-0.0003860592842,10,0.0001619458199,22,-0.0002890881151
memorization_01_no_regularization,25,0.05957273394,0.05961255357,0.05940847099,0.0002040825784,33,14,19,0,-1.181007335e-05,-4.429370165e-06,-0.0003897324204,-0.0004074275494,10,0.0002086758614,22,-0.000185649842
memorization_01_no_regularization,26,0.09431754798,0.09429898858,0.09396804869,0.000330939889,33,18,15,0,5.273148417e-06,1.15185976e-05,0.0001740138978,-0.0003863871098,10,0.0002494975924,0,0.0005049537867
memorization_01_no_regularization,27,0.1768112332,0.1768957973,0.1765164733,0.0003793239594,33,16,17,0,-2.405408657e-06,-5.051493645e-06,-7.937848568e-05,-0.0004140138626,10,0.0002284646034,22,0.0002999454737
memorization_01_no_regularization,28,0.2325355858,0.2324780822,0.2310061604,0.001471921802,33,16,17,0,-5.273599968e-06,-3.911554813e-06,-0.0001740287989,-0.0005373954773,10,0.000334084034,22,0.001297893003
memorization_01_no_regularization,29,0.08023174852,0.08017254621,0.07989302278,0.0002795234323,33,16,17,0,3.470446576e-06,-2.801418304e-06,0.000114524737,-0.0003022551537,10,0.0001941919327,22,0.0003940481693
memorization_01_no_regularization,30,0.1128643826,0.1128678471,0.1122745648,0.0005932822824,33,18,15,0,7.495961406e-06,7.722526789e-06,0.0002473667264,-0.000490039587,10,0.0002800896764,32,0.0008406490088
memorization_01_no_regularization,31,0.08822927624,0.08819700778,0.08753594011,0.0006610676646,33,16,17,0,1.669833154e-06,-6.36279583e-06,5.510449409e-05,-0.0005039274693,10,0.0003407001495,22,0.0007161721587
memorization_01_no_regularization,32,0.1154408455,0.1153667197,0.1145316064,0.0008351132274,33,17,16,0,2.040838202e-06,1.07139349e-05,6.734766066e-05,-0.0005259513855,10,0.0002262815833,0,0.000902460888
memorization_01_no_regularization,33,0.06352493912,0.06348849833,0.06265629083,0.0008322075009,33,16,17,0,-1.156014023e-05,-3.278255463e-06,-0.0003814846277,-0.0005549490452,10,0.0001957342029,32,0.0004507228732
