arm,step_batch,eval_batch,is_self,pre_loss,post_loss,delta_loss,relative_delta
memorization_02_t_one_oversample,0,0,1,0.7277191877,0.7272568345,0.0004623532295,0.0006353456626
memorization_02_t_one_oversample,0,1,0,0.3931538165,0.3931804001,-2.658367157e-05,-6.761646576e-05
memorization_02_t_one_oversample,0,2,0,0.317792803,0.3177211285,7.167458534e-05,0.0002255387304
memorization_02_t_one_oversample,0,3,0,0.5058817863,0.5059033632,-2.157688141e-05,-4.265202265e-05
memorization_02_t_one_oversample,0,4,0,0.5716806054,0.5716909766,-1.037120819e-05,-1.81416128e-05
memorization_02_t_one_oversample,0,5,0,0.5115814805,0.5116254687,-4.398822784e-05,-8.598479327e-05
memorization_02_t_one_oversample,0,6,0,0.1603555232,0.1603162736,3.924965858e-05,0.0002447664901
memorization_02_t_one_oversample,0,7,0,0.3912025988,0.3912443817,-4.178285599e-05,-0.0001068061821
memorization_02_t_one_oversample,0,8,0,0.5328586102,0.5317336321,0.001124978065,0.002111213076
memorization_02_t_one_oversample,0,9,0,0.4113689661,0.4108558893,0.0005130767822,0.001247242317
memorization_02_t_one_oversample,0,10,0,0.5338000655,0.5336692333,0.0001308321953,0.0002450958772
memorization_02_t_one_oversample,0,11,0,0.4267908037,0.4266780317,0.0001127719879,0.0002642324693
memorization_02_t_one_oversample,0,12,0,0.2510662377,0.2511381805,-7.194280624e-05,-0.0002865491071
memorization_02_t_one_oversample,0,13,0,0.4991305172,0.4994445443,-0.000314027071,-0.000629148209
memorization_02_t_one_oversample,0,14,0,0.9079454541,0.9080272913,-8.183717728e-05,-9.013446447e-05
memorization_02_t_one_oversample,0,15,0,0.531644702,0.5314598083,0.0001848936081,0.0003477766399
memorization_02_t_one_oversample,0,16,0,0.5451871753,0.5439095497,0.001277625561,0.002343462243
memorization_02_t_one_oversample,0,17,0,0.3526231349,0.3525975943,2.554059029e-05,7.243027403e-05
memorization_02_t_one_oversample,0,18,0,0.4435464442,0.443541795,4.649162292e-06,1.048179363e-05
memorization_02_t_one_oversample,0,19,0,0.2949351966,0.2949279845,7.212162018e-06,2.445337857e-05
memorization_02_t_one_oversample,0,20,0,0.04768945277,0.04757150635,0.0001179464161,0.002473218066
memorization_02_t_one_oversample,0,21,0,0.5559363365,0.5559766293,-4.029273987e-05,-7.247725544e-05
memorization_02_t_one_oversample,0,22,0,1.225304842,1.225802898,-0.0004980564117,-0.000406475511
memorization_02_t_one_oversample,0,23,0,0.3738675714,0.3730767369,0.0007908344269,0.002115279547
memorization_02_t_one_oversample,0,24,0,0.3895021975,0.389418751,8.344650269e-05,0.0002142388495
memorization_02_t_one_oversample,0,25,0,0.5440544486,0.5438525677,0.0002018809319,0.0003710675142
