step_batch,eval_batch_0,eval_batch_1,eval_batch_2,eval_batch_3,eval_batch_4,eval_batch_5,eval_batch_6,eval_batch_7,eval_batch_8,eval_batch_9,eval_batch_10,eval_batch_11,eval_batch_12,eval_batch_13,eval_batch_14,eval_batch_15,eval_batch_16,eval_batch_17,eval_batch_18,eval_batch_19,eval_batch_20,eval_batch_21,eval_batch_22,eval_batch_23,eval_batch_24,eval_batch_25,eval_batch_26,eval_batch_27,eval_batch_28,eval_batch_29,eval_batch_30,eval_batch_31,eval_batch_32,eval_batch_33
0,0.0004623532295,-2.658367157e-05,7.167458534e-05,-2.157688141e-05,-1.037120819e-05,-4.398822784e-05,3.924965858e-05,-4.178285599e-05,0.001124978065,0.0005130767822,0.0001308321953,0.0001127719879,-7.194280624e-05,-0.000314027071,-8.183717728e-05,0.0001848936081,0.001277625561,2.554059029e-05,4.649162292e-06,7.212162018e-06,0.0001179464161,-4.029273987e-05,-0.0004980564117,0.0007908344269,8.344650269e-05,0.0002018809319,0.000201523304,1.311302185e-05,0.00025421381,-7.544457912e-05,9.685754776e-06,0.0002917945385,0.0001460313797,-0.0001555085182
1,-4.237890244e-05,0.001072049141,4.13954258e-05,-2.348423004e-05,6.103515625e-05,-6.240606308e-05,2.387166023e-05,-9.685754776e-06,0.0009549260139,0.0004412531853,0.0001477003098,8.723139763e-05,-0.0001539587975,-0.0003780722618,-2.938508987e-05,0.0003325343132,0.0005101561546,4.175305367e-05,6.544589996e-05,-2.145767212e-05,0.0001076981425,-4.386901855e-05,-0.000403046608,0.0007038116455,-1.281499863e-06,0.00023406744,0.0002958774567,8.24034214e-05,0.0001296401024,-8.644163609e-05,-7.301568985e-06,0.0003280341625,0.0001569390297,-0.0002331733704
2,-4.649162292e-06,-3.239512444e-05,0.001165300608,-4.11272049e-06,0.0001223683357,-0.0001017451286,7.291138172e-05,-4.994869232e-05,0.0009233951569,0.0004370808601,0.0002090930939,3.352761269e-05,-1.114606857e-05,-0.0005695223808,-4.142522812e-05,8.165836334e-05,0.0008059740067,9.307265282e-05,0.0001366138458,-6.699562073e-05,7.548928261e-05,0.0001282095909,-0.0004916191101,0.0006507635117,-6.049871445e-06,0.0002615451813,0.0001799464226,4.315376282e-05,8.076429367e-05,-0.0001034736633,-7.36117363e-05,0.0002284049988,0.0001135468483,-0.0002290606499
3,-2.455711365e-05,-5.036592484e-06,8.028745651e-05,0.0002490878105,6.175041199e-05,-2.652406693e-05,5.130469799e-05,-2.11596489e-05,0.0009009838104,0.0004044175148,3.033876419e-05,8.216500282e-05,-4.878640175e-05,-0.0003590881824,-5.573034286e-05,9.441375732e-05,0.0009739398956,1.218914986e-05,7.984042168e-05,-2.455711365e-05,9.230896831e-05,1.984834671e-05,-0.0004880428314,0.0006302297115,1.919269562e-05,0.0002099275589,2.640485764e-05,3.24845314e-05,0.0001294016838,-0.0001046210527,-3.954768181e-05,0.0003092586994,0.0001417994499,-0.0001793503761
4,-0.0001445412636,-2.533197403e-05,0.0001038908958,-3.790855408e-05,0.0008565783501,-7.18832016e-05,6.844103336e-05,-3.254413605e-05,0.0009494423866,0.000376611948,0.000111758709,0.0001007318497,8.13305378e-05,-0.000457495451,-9.560585022e-05,0.0001187324524,0.000974714756,-9.179115295e-06,0.0001310706139,-2.989172935e-05,5.434826016e-05,-4.839897156e-05,-0.0005643367767,0.0006482899189,-4.878640175e-05,0.0001660585403,0.0001409649849,9.495019913e-05,6.56247139e-05,-0.0001144707203,-0.0001188516617,0.0002830922604,8.374452591e-05,-0.0001133084297
5,-1.072883606e-06,-2.533197403e-06,3.829598427e-05,1.841783524e-05,8.338689804e-05,0.0004751682281,6.078183651e-05,-2.890825272e-05,0.001015663147,0.0005216002464,0.000174343586,0.0001121163368,1.82390213e-05,-0.0003648996353,-4.887580872e-05,0.0001584291458,0.001010835171,1.460313797e-05,7.373094559e-05,1.937150955e-06,0.0001118071377,-5.960464478e-06,-0.0004620552063,0.0007166862488,2.071261406e-05,0.0002146363258,7.110834122e-05,3.266334534e-05,0.0002936720848,-8.849799633e-05,-6.195902824e-05,0.0002506673336,0.0001675486565,-0.0001565217972
6,-5.036592484e-05,-2.095103264e-05,5.733966827e-05,-4.190206528e-05,7.688999176e-05,-8.344650269e-05,0.000290364027,-4.079937935e-05,0.0009799599648,0.000439375639,8.690357208e-05,0.0001685321331,-6.604194641e-05,-0.0003368258476,-6.240606308e-05,0.0001229047775,0.001012146473,5.900859833e-06,7.951259613e-05,-2.712011337e-05,8.603185415e-05,-2.098083496e-05,-0.0004869699478,0.000724196434,-4.950165749e-05,0.0001885294914,0.0001611709595,3.924965858e-05,0.000127017498,-8.204579353e-05,-6.139278412e-05,0.0002796053886,0.0001246929169,-0.0001832842827
7,-5.36441803e-05,-1.853704453e-05,1.630187035e-05,-4.094839096e-05,5.9902668e-05,-8.815526962e-05,3.978610039e-05,0.0002538561821,0.000995516777,0.0004538297653,5.638599396e-05,7.167458534e-05,-7.086992264e-05,-0.0003930032253,-9.000301361e-05,0.0001602172852,0.001091599464,1.966953278e-06,0.0001147985458,-3.117322922e-05,0.0001033246517,-2.616643906e-05,-0.0005494356155,0.0007540285587,-6.884336472e-06,0.000205218792,0.0001164674759,5.084276199e-05,0.0001061558723,-6.796419621e-05,-0.0001177787781,0.0003089010715,0.0001193881035,-0.0001927018166
8,2.62260437e-06,-1.034140587e-05,2.285838127e-05,-7.718801498e-05,5.656480789e-05,-8.308887482e-05,3.999471664e-05,-2.813339233e-05,0.002197265625,0.000756084919,0.0002413392067,0.0001149773598,-0.0001510679722,-0.0004941225052,-0.0001084804535,0.0002028942108,0.001506447792,-9.268522263e-06,8.580088615e-05,3.084540367e-05,9.945034981e-05,1.883506775e-05,-0.0009068250656,0.001219511032,1.257658005e-05,0.0001901984215,0.0002303123474,1.898407936e-05,0.0002402663231,-9.089708328e-05,-8.857250214e-05,0.0004364550114,0.0001567602158,-0.0002411007881
9,6.139278412e-06,-1.469254494e-05,6.195902824e-05,-5.328655243e-05,5.674362183e-05,-4.214048386e-05,5.041062832e-05,-1.719594002e-05,0.001503944397,0.001377850771,0.0001221895218,0.0001201331615,-0.0001173913479,-0.0004690885544,-3.933906555e-05,0.0001695156097,0.001309752464,-1.162290573e-05,6.097555161e-05,-1.072883606e-05,0.0001005418599,4.923343658e-05,-0.0008293390274,0.001462161541,1.05202198e-05,0.0001832842827,0.0002350211143,3.147125244e-05,0.0002669692039,-8.821487427e-05,-7.274746895e-05,0.000441968441,0.0001500844955,-0.0002154707909
