arm,step_batch,step_train_loss,self_pre_loss,self_post_loss,self_delta,other_count,other_improved,other_hurt,other_unchanged,mean_other_delta,median_other_delta,sum_other_delta,worst_other_delta,worst_other_batch,best_other_delta,best_other_batch,net_delta_all_batches
memorization_02_t_one_oversample,0,0.7277950644,0.7277191877,0.7272568345,0.0004623532295,33,21,12,0,0.0001279261302,2.554059029e-05,0.004221562296,-0.0004980564117,22,0.001277625561,16,0.004683915526
memorization_02_t_one_oversample,1,0.3932031691,0.3931538165,0.3920817673,0.001072049141,33,19,14,0,9.847974235e-05,4.175305367e-05,0.003249831498,-0.000403046608,22,0.0009549260139,8,0.004321880639
memorization_02_t_one_oversample,2,0.3178073168,0.317792803,0.3166275024,0.001165300608,33,19,14,0,8.762921348e-05,7.291138172e-05,0.002891764045,-0.0005695223808,13,0.0009233951569,8,0.004057064652
memorization_02_t_one_oversample,3,0.505889833,0.5058817863,0.5056326985,0.0002490878105,33,21,12,0,9.107533278e-05,3.033876419e-05,0.003005485982,-0.0004880428314,22,0.0009739398956,16,0.003254573792
memorization_02_t_one_oversample,4,0.5716530085,0.5716806054,0.5708240271,0.0008565783501,33,18,15,0,8.003831361e-05,6.56247139e-05,0.002641264349,-0.0005643367767,22,0.000974714756,16,0.003497842699
memorization_02_t_one_oversample,5,0.5115939379,0.5115814805,0.5111063123,0.0004751682281,33,23,10,0,0.0001200181291,3.829598427e-05,0.00396059826,-0.0004620552063,22,0.001015663147,8,0.004435766488
memorization_02_t_one_oversample,6,0.1603753716,0.1603555232,0.1600651592,0.000290364027,33,18,15,0,9.533108184e-05,3.924965858e-05,0.003145925701,-0.0004869699478,22,0.001012146473,16,0.003436289728
memorization_02_t_one_oversample,7,0.3912728429,0.3912025988,0.3909487426,0.0002538561821,33,19,14,0,9.330429814e-05,3.978610039e-05,0.003079041839,-0.0005494356155,22,0.001091599464,16,0.003332898021
memorization_02_t_one_oversample,8,0.5329774022,0.5328586102,0.5306613445,0.002197265625,33,21,12,0,0.000102869489,2.285838127e-05,0.003394693136,-0.0009068250656,22,0.001506447792,16,0.005591958761
memorization_02_t_one_oversample,9,0.4114080667,0.4113689661,0.4099911153,0.001377850771,33,20,13,0,0.0001336897187,4.923343658e-05,0.004411760718,-0.0008293390274,22,0.001503944397,8,0.005789611489
memorization_02_t_one_oversample,10,0.5338665247,0.5338000655,0.5320346951,0.001765370369,33,21,12,0,0.0001083457786,4.988908768e-05,0.003575410694,-0.0006515979767,22,0.00137680769,8,0.005340781063
memorization_02_t_one_oversample,11,0.4267889559,0.4267908037,0.4263070524,0.000483751297,33,18,15,0,0.0001039654016,3.188848495e-05,0.003430858254,-0.0005284547806,22,0.001071512699,8,0.003914609551
