arm,step_batch,eval_batch,is_self,pre_loss,post_loss,delta_loss,relative_delta
memorization_03_no_regularization_plus_t_one_oversample,0,0,1,0.7085579634,0.7082611918,0.0002967715263,0.0004188387425
memorization_03_no_regularization_plus_t_one_oversample,0,1,0,0.3644303679,0.364338994,9.137392044e-05,0.0002507308075
memorization_03_no_regularization_plus_t_one_oversample,0,2,0,0.2775094509,0.2774496377,5.981326103e-05,0.0002155359424
memorization_03_no_regularization_plus_t_one_oversample,0,3,0,0.4938513935,0.4938395619,1.183152199e-05,2.395765638e-05
memorization_03_no_regularization_plus_t_one_oversample,0,4,0,0.5351589918,0.5349413157,0.0002176761627,0.0004067504537
memorization_03_no_regularization_plus_t_one_oversample,0,5,0,0.4896268249,0.4896398485,-1.302361488e-05,-2.659906325e-05
memorization_03_no_regularization_plus_t_one_oversample,0,6,0,0.14457497,0.1445606351,1.433491707e-05,9.915213586e-05
memorization_03_no_regularization_plus_t_one_oversample,0,7,0,0.3782736063,0.3783688247,-9.521842003e-05,-0.0002517183817
memorization_03_no_regularization_plus_t_one_oversample,0,8,0,0.4898412824,0.4896276891,0.0002135932446,0.0004360458219
memorization_03_no_regularization_plus_t_one_oversample,0,9,0,0.4061502218,0.4060710967,7.912516594e-05,0.0001948174879
memorization_03_no_regularization_plus_t_one_oversample,0,10,0,0.5204000473,0.5203596354,4.041194916e-05,7.765554474e-05
memorization_03_no_regularization_plus_t_one_oversample,0,11,0,0.4120126069,0.4119828343,2.977252007e-05,7.226118708e-05
memorization_03_no_regularization_plus_t_one_oversample,0,12,0,0.2415925413,0.2426287085,-0.001036167145,-0.004288903701
memorization_03_no_regularization_plus_t_one_oversample,0,13,0,0.4684722126,0.4686234295,-0.0001512169838,-0.0003227875202
memorization_03_no_regularization_plus_t_one_oversample,0,14,0,0.8903840184,0.8903615475,2.247095108e-05,2.523737019e-05
memorization_03_no_regularization_plus_t_one_oversample,0,15,0,0.5044499636,0.5044105649,3.93986702e-05,7.810223618e-05
memorization_03_no_regularization_plus_t_one_oversample,0,16,0,0.5159143209,0.5160363913,-0.0001220703125,-0.0002366096608
memorization_03_no_regularization_plus_t_one_oversample,0,17,0,0.3367334902,0.3366480768,8.541345596e-05,0.000253652988
memorization_03_no_regularization_plus_t_one_oversample,0,18,0,0.4172201157,0.4171663225,5.379319191e-05,0.0001289324026
memorization_03_no_regularization_plus_t_one_oversample,0,19,0,0.2668915391,0.2668932676,-1.728534698e-06,-6.476543634e-06
memorization_03_no_regularization_plus_t_one_oversample,0,20,0,0.03643610701,0.03645117208,-1.506507397e-05,-0.000413465521
memorization_03_no_regularization_plus_t_one_oversample,0,21,0,0.5145412683,0.5144683123,7.295608521e-05,0.0001417885983
memorization_03_no_regularization_plus_t_one_oversample,0,22,0,1.193644285,1.193753481,-0.0001091957092,-9.14809467e-05
memorization_03_no_regularization_plus_t_one_oversample,0,23,0,0.3453829885,0.3454787731,-9.578466415e-05,-0.0002773288418
memorization_03_no_regularization_plus_t_one_oversample,0,24,0,0.3503594995,0.3502605557,9.894371033e-05,0.0002824062441
memorization_03_no_regularization_plus_t_one_oversample,0,25,0,0.5269067883,0.5267625451,0.0001442432404,0.000273754758
memorization_03_no_regularization_plus_t_one_oversample,0,26,0,0.7792749405,0.7791786194,9.632110596e-05,0.0001236034947
memorization_03_no_regularization_plus_t_one_oversample,0,27,0,0.4060673416,0.4061475098,-8.016824722e-05,-0.0001974259908
memorization_03_no_regularization_plus_t_one_oversample,0,28,0,0.8241855502,0.8242031336,-1.758337021e-05,-2.133423742e-05
memorization_03_no_regularization_plus_t_one_oversample,0,29,0,0.1264764071,0.1265272051,-5.079805851e-05,-0.0004016405881
memorization_03_no_regularization_plus_t_one_oversample,0,30,0,0.4651627243,0.4652240872,-6.13629818e-05,-0.000131917238
memorization_03_no_regularization_plus_t_one_oversample,0,31,0,0.3135044873,0.3134048283,9.965896606e-05,0.0003178868887
memorization_03_no_regularization_plus_t_one_oversample,0,32,0,0.5690794587,0.5690550804,2.437829971e-05,4.283812979e-05
memorization_03_no_regularization_plus_t_one_oversample,0,33,0,0.5709459782,0.5710833669,-0.0001373887062,-0.00024063346
memorization_03_no_regularization_plus_t_one_oversample,1,0,0,0.7085579634,0.708506465,5.149841309e-05,7.268059319e-05
memorization_03_no_regularization_plus_t_one_oversample,1,1,1,0.3644303679,0.3636415899,0.0007887780666,0.00216441366
memorization_03_no_regularization_plus_t_one_oversample,1,2,0,0.2775094509,0.2774773836,3.206729889e-05,0.0001155538984
memorization_03_no_regularization_plus_t_one_oversample,1,3,0,0.4938513935,0.4938430488,8.344650269e-06,1.689708762e-05
memorization_03_no_regularization_plus_t_one_oversample,1,4,0,0.5351589918,0.5349838138,0.000175178051,0.0003273383306
memorization_03_no_regularization_plus_t_one_oversample,1,5,0,0.4896268249,0.489623636,3.188848495e-06,6.512814114e-06
memorization_03_no_regularization_plus_t_one_oversample,1,6,0,0.14457497,0.1445572525,1.771748066e-05,0.0001225487417
memorization_03_no_regularization_plus_t_one_oversample,1,7,0,0.3782736063,0.3783710599,-9.745359421e-05,-0.0002576272639
memorization_03_no_regularization_plus_t_one_oversample,1,8,0,0.4898412824,0.4896603227,0.0001809597015,0.0003694251752
memorization_03_no_regularization_plus_t_one_oversample,1,9,0,0.4061502218,0.4061451554,5.066394806e-06,1.247418943e-05
memorization_03_no_regularization_plus_t_one_oversample,1,10,0,0.5204000473,0.5203688741,3.117322922e-05,5.990243348e-05
memorization_03_no_regularization_plus_t_one_oversample,1,11,0,0.4120126069,0.4119868875,2.571940422e-05,6.242382828e-05
memorization_03_no_regularization_plus_t_one_oversample,1,12,0,0.2415925413,0.2423980087,-0.0008054673672,-0.003333991036
memorization_03_no_regularization_plus_t_one_oversample,1,13,0,0.4684722126,0.4686206877,-0.0001484751701,-0.0003169348494
memorization_03_no_regularization_plus_t_one_oversample,1,14,0,0.8903840184,0.8903348446,4.917383194e-05,5.522766685e-05
memorization_03_no_regularization_plus_t_one_oversample,1,15,0,0.5044499636,0.5043916106,5.835294724e-05,0.0001156763831
memorization_03_no_regularization_plus_t_one_oversample,1,16,0,0.5159143209,0.5159630179,-4.869699478e-05,-9.43896938e-05
memorization_03_no_regularization_plus_t_one_oversample,1,17,0,0.3367334902,0.3366533518,8.01384449e-05,0.0002379877477
memorization_03_no_regularization_plus_t_one_oversample,1,18,0,0.4172201157,0.4172438383,-2.372264862e-05,-5.685883238e-05
memorization_03_no_regularization_plus_t_one_oversample,1,19,0,0.2668915391,0.2669045329,-1.299381256e-05,-4.86857418e-05
memorization_03_no_regularization_plus_t_one_oversample,1,20,0,0.03643610701,0.03643633053,-2.235174179e-07,-6.134503279e-06
memorization_03_no_regularization_plus_t_one_oversample,1,21,0,0.5145412683,0.5145021677,3.910064697e-05,7.59912749e-05
memorization_03_no_regularization_plus_t_one_oversample,1,22,0,1.193644285,1.193763137,-0.0001188516617,-9.957041906e-05
memorization_03_no_regularization_plus_t_one_oversample,1,23,0,0.3453829885,0.3454152942,-3.230571747e-05,-9.353592547e-05
memorization_03_no_regularization_plus_t_one_oversample,1,24,0,0.3503594995,0.3502376974,0.0001218020916,0.0003476488915
memorization_03_no_regularization_plus_t_one_oversample,1,25,0,0.5269067883,0.5267678499,0.000138938427,0.0002636869178
memorization_03_no_regularization_plus_t_one_oversample,1,26,0,0.7792749405,0.7792224288,5.251169205e-05,6.738532104e-05
memorization_03_no_regularization_plus_t_one_oversample,1,27,0,0.4060673416,0.4060907066,-2.336502075e-05,-5.753976831e-05
memorization_03_no_regularization_plus_t_one_oversample,1,28,0,0.8241855502,0.8242509961,-6.544589996e-05,-7.940675488e-05
memorization_03_no_regularization_plus_t_one_oversample,1,29,0,0.1264764071,0.1265173852,-4.097819328e-05,-0.0003239987144
memorization_03_no_regularization_plus_t_one_oversample,1,30,0,0.4651627243,0.4652173817,-5.465745926e-05,-0.000117501804
memorization_03_no_regularization_plus_t_one_oversample,1,31,0,0.3135044873,0.3134791851,2.530217171e-05,8.070752648e-05
memorization_03_no_regularization_plus_t_one_oversample,1,32,0,0.5690794587,0.5690732598,6.198883057e-06,1.089282518e-05
memorization_03_no_regularization_plus_t_one_oversample,1,33,0,0.5709459782,0.5710366368,-9.06586647e-05,-0.0001587867647
memorization_03_no_regularization_plus_t_one_oversample,2,0,0,0.7085579634,0.7084962726,6.169080734e-05,8.706529392e-05
memorization_03_no_regularization_plus_t_one_oversample,2,1,0,0.3644303679,0.364353478,7.688999176e-05,0.0002109867852
memorization_03_no_regularization_plus_t_one_oversample,2,2,1,0.2775094509,0.2768829167,0.0006265342236,0.002257704094
memorization_03_no_regularization_plus_t_one_oversample,2,3,0,0.4938513935,0.4938467145,4.678964615e-06,9.474438418e-06
memorization_03_no_regularization_plus_t_one_oversample,2,4,0,0.5351589918,0.534896493,0.0002624988556,0.0004905062974
memorization_03_no_regularization_plus_t_one_oversample,2,5,0,0.4896268249,0.4896345139,-7.688999176e-06,-1.570379478e-05
memorization_03_no_regularization_plus_t_one_oversample,2,6,0,0.14457497,0.1445842683,-9.298324585e-06,-6.431489894e-05
memorization_03_no_regularization_plus_t_one_oversample,2,7,0,0.3782736063,0.3783301115,-5.650520325e-05,-0.000149376542
memorization_03_no_regularization_plus_t_one_oversample,2,8,0,0.4898412824,0.4896605015,0.0001807808876,0.0003690601305
memorization_03_no_regularization_plus_t_one_oversample,2,9,0,0.4061502218,0.4061666429,-1.642107964e-05,-4.043104928e-05
memorization_03_no_regularization_plus_t_one_oversample,2,10,0,0.5204000473,0.5203696489,3.039836884e-05,5.841346286e-05
memorization_03_no_regularization_plus_t_one_oversample,2,11,0,0.4120126069,0.4119875133,2.509355545e-05,6.090482435e-05
memorization_03_no_regularization_plus_t_one_oversample,2,12,0,0.2415925413,0.2422600389,-0.0006674975157,-0.002762906139
memorization_03_no_regularization_plus_t_one_oversample,2,13,0,0.4684722126,0.4687306285,-0.0002584159374,-0.0005516142271
memorization_03_no_regularization_plus_t_one_oversample,2,14,0,0.8903840184,0.8904086351,-2.461671829e-05,-2.764730474e-05
memorization_03_no_regularization_plus_t_one_oversample,2,15,0,0.5044499636,0.5043734312,7.653236389e-05,0.00015171448
memorization_03_no_regularization_plus_t_one_oversample,2,16,0,0.5159143209,0.5161483288,-0.0002340078354,-0.0004535788713
memorization_03_no_regularization_plus_t_one_oversample,2,17,0,0.3367334902,0.3366893232,4.416704178e-05,0.000131163199
memorization_03_no_regularization_plus_t_one_oversample,2,18,0,0.4172201157,0.4170999229,0.0001201927662,0.0002880799887
memorization_03_no_regularization_plus_t_one_oversample,2,19,0,0.2668915391,0.2669194639,-2.792477608e-05,-0.0001046296791
memorization_03_no_regularization_plus_t_one_oversample,2,20,0,0.03643610701,0.03646822274,-3.211572766e-05,-0.0008814258794
memorization_03_no_regularization_plus_t_one_oversample,2,21,0,0.5145412683,0.5144001245,0.0001411437988,0.0002743099679
memorization_03_no_regularization_plus_t_one_oversample,2,22,0,1.193644285,1.193753004,-0.0001087188721,-9.108146658e-05
memorization_03_no_regularization_plus_t_one_oversample,2,23,0,0.3453829885,0.3454522491,-6.926059723e-05,-0.0002005327406
memorization_03_no_regularization_plus_t_one_oversample,2,24,0,0.3503594995,0.3503169417,4.255771637e-05,0.0001214687098
memorization_03_no_regularization_plus_t_one_oversample,2,25,0,0.5269067883,0.5267412663,0.0001655220985,0.0003141392409
memorization_03_no_regularization_plus_t_one_oversample,2,26,0,0.7792749405,0.7791453004,0.0001296401024,0.0001663599016
memorization_03_no_regularization_plus_t_one_oversample,2,27,0,0.4060673416,0.4060752988,-7.957220078e-06,-1.959581395e-05
memorization_03_no_regularization_plus_t_one_oversample,2,28,0,0.8241855502,0.824292779,-0.000107228756,-0.0001301026886
memorization_03_no_regularization_plus_t_one_oversample,2,29,0,0.1264764071,0.1265025437,-2.613663673e-05,-0.0002066522709
memorization_03_no_regularization_plus_t_one_oversample,2,30,0,0.4651627243,0.4652008116,-3.808736801e-05,-8.187966495e-05
memorization_03_no_regularization_plus_t_one_oversample,2,31,0,0.3135044873,0.3134804666,2.402067184e-05,7.661986612e-05
memorization_03_no_regularization_plus_t_one_oversample,2,32,0,0.5690794587,0.5690012574,7.820129395e-05,0.0001374171792
memorization_03_no_regularization_plus_t_one_oversample,2,33,0,0.5709459782,0.5710707903,-0.0001248121262,-0.0002186058418
memorization_03_no_regularization_plus_t_one_oversample,3,0,0,0.7085579634,0.7085118294,4.613399506e-05,6.510969806e-05
memorization_03_no_regularization_plus_t_one_oversample,3,1,0,0.3644303679,0.3643175662,0.0001128017902,0.0003095290628
memorization_03_no_regularization_plus_t_one_oversample,3,2,0,0.2775094509,0.2774432302,6.622076035e-05,0.0002386252437
memorization_03_no_regularization_plus_t_one_oversample,3,3,1,0.4938513935,0.4932616353,0.0005897581577,0.001194201668
memorization_03_no_regularization_plus_t_one_oversample,3,4,0,0.5351589918,0.5349684358,0.0001905560493,0.0003560737132
memorization_03_no_regularization_plus_t_one_oversample,3,5,0,0.4896268249,0.4895727932,5.403161049e-05,0.0001103526354
memorization_03_no_regularization_plus_t_one_oversample,3,6,0,0.14457497,0.1445516646,2.330541611e-05,0.0001611995223
memorization_03_no_regularization_plus_t_one_oversample,3,7,0,0.3782736063,0.3783430159,-6.940960884e-05,-0.0001834904886
memorization_03_no_regularization_plus_t_one_oversample,3,8,0,0.4898412824,0.4896734357,0.0001678466797,0.0003426552349
memorization_03_no_regularization_plus_t_one_oversample,3,9,0,0.4061502218,0.4065630734,-0.000412851572,-0.001016499684
memorization_03_no_regularization_plus_t_one_oversample,3,10,0,0.5204000473,0.5204382539,-3.82065773e-05,-7.341770528e-05
memorization_03_no_regularization_plus_t_one_oversample,3,11,0,0.4120126069,0.4120042026,8.404254913e-06,2.039805281e-05
memorization_03_no_regularization_plus_t_one_oversample,3,12,0,0.2415925413,0.2425735891,-0.0009810477495,-0.004060753466
memorization_03_no_regularization_plus_t_one_oversample,3,13,0,0.4684722126,0.4685823619,-0.0001101493835,-0.0002351246896
memorization_03_no_regularization_plus_t_one_oversample,3,14,0,0.8903840184,0.8903382421,4.577636719e-05,5.141193714e-05
memorization_03_no_regularization_plus_t_one_oversample,3,15,0,0.5044499636,0.5044933558,-4.33921814e-05,-8.601880173e-05
memorization_03_no_regularization_plus_t_one_oversample,3,16,0,0.5159143209,0.5161886811,-0.0002743601799,-0.0005317940766
memorization_03_no_regularization_plus_t_one_oversample,3,17,0,0.3367334902,0.3366357088,9.778141975e-05,0.0002903822239
memorization_03_no_regularization_plus_t_one_oversample,3,18,0,0.4172201157,0.4171265066,9.360909462e-05,0.0002243638097
memorization_03_no_regularization_plus_t_one_oversample,3,19,0,0.2668915391,0.266920507,-2.896785736e-05,-0.0001085379381
memorization_03_no_regularization_plus_t_one_oversample,3,20,0,0.03643610701,0.03644440696,-8.299946785e-06,-0.0002277945551
memorization_03_no_regularization_plus_t_one_oversample,3,21,0,0.5145412683,0.5143710971,0.0001701712608,0.0003307242223
memorization_03_no_regularization_plus_t_one_oversample,3,22,0,1.193644285,1.193730354,-8.606910706e-05,-7.210616104e-05
memorization_03_no_regularization_plus_t_one_oversample,3,23,0,0.3453829885,0.345302403,8.058547974e-05,0.0002333220872
memorization_03_no_regularization_plus_t_one_oversample,3,24,0,0.3503594995,0.3502344787,0.0001250207424,0.0003568356006
memorization_03_no_regularization_plus_t_one_oversample,3,25,0,0.5269067883,0.5267516971,0.0001550912857,0.0002943429258
memorization_03_no_regularization_plus_t_one_oversample,3,26,0,0.7792749405,0.7798196077,-0.000544667244,-0.0006989410485
memorization_03_no_regularization_plus_t_one_oversample,3,27,0,0.4060673416,0.4060966671,-2.932548523e-05,-7.221828063e-05
memorization_03_no_regularization_plus_t_one_oversample,3,28,0,0.8241855502,0.8242145777,-2.902746201e-05,-3.521957161e-05
memorization_03_no_regularization_plus_t_one_oversample,3,29,0,0.1264764071,0.1265149266,-3.851950169e-05,-0.0003045587915
memorization_03_no_regularization_plus_t_one_oversample,3,30,0,0.4651627243,0.465180397,-1.767277718e-05,-3.799267709e-05
memorization_03_no_regularization_plus_t_one_oversample,3,31,0,0.3135044873,0.3132718801,0.0002326071262,0.0007419578847
memorization_03_no_regularization_plus_t_one_oversample,3,32,0,0.5690794587,0.5690092444,7.021427155e-05,0.0001233821929
memorization_03_no_regularization_plus_t_one_oversample,3,33,0,0.5709459782,0.5711883307,-0.0002423524857,-0.0004244753355
memorization_03_no_regularization_plus_t_one_oversample,4,0,0,0.7085579634,0.708491087,6.687641144e-05,9.438382588e-05
memorization_03_no_regularization_plus_t_one_oversample,4,1,0,0.3644303679,0.3643546402,7.572770119e-05,0.0002077974501
memorization_03_no_regularization_plus_t_one_oversample,4,2,0,0.2775094509,0.2773858905,0.0001235604286,0.0004452476419
memorization_03_no_regularization_plus_t_one_oversample,4,3,0,0.4938513935,0.4938637614,-1.236796379e-05,-2.504389773e-05
memorization_03_no_regularization_plus_t_one_oversample,4,4,1,0.5351589918,0.5341296792,0.001029312611,0.001923377214
memorization_03_no_regularization_plus_t_one_oversample,4,5,0,0.4896268249,0.4896264076,4.172325134e-07,8.521439028e-07
memorization_03_no_regularization_plus_t_one_oversample,4,6,0,0.14457497,0.1445505321,2.443790436e-05,0.0001690327472
memorization_03_no_regularization_plus_t_one_oversample,4,7,0,0.3782736063,0.3783764839,-0.0001028776169,-0.0002719661514
memorization_03_no_regularization_plus_t_one_oversample,4,8,0,0.4898412824,0.4895902574,0.0002510249615,0.0005124618331
memorization_03_no_regularization_plus_t_one_oversample,4,9,0,0.4061502218,0.4061495662,6.556510925e-07,1.614306868e-06
memorization_03_no_regularization_plus_t_one_oversample,4,10,0,0.5204000473,0.5204299092,-2.986192703e-05,-5.738263704e-05
memorization_03_no_regularization_plus_t_one_oversample,4,11,0,0.4120126069,0.4119780362,3.457069397e-05,8.39068839e-05
memorization_03_no_regularization_plus_t_one_oversample,4,12,0,0.2415925413,0.2426207662,-0.001028224826,-0.00425602885
memorization_03_no_regularization_plus_t_one_oversample,4,13,0,0.4684722126,0.4686985016,-0.0002262890339,-0.0004830361926
memorization_03_no_regularization_plus_t_one_oversample,4,14,0,0.8903840184,0.8904047608,-2.074241638e-05,-2.329603402e-05
memorization_03_no_regularization_plus_t_one_oversample,4,15,0,0.5044499636,0.5044032335,4.67300415e-05,9.263563263e-05
memorization_03_no_regularization_plus_t_one_oversample,4,16,0,0.5159143209,0.5160933137,-0.0001789927483,-0.000346942779
memorization_03_no_regularization_plus_t_one_oversample,4,17,0,0.3367334902,0.3365353346,0.0001981556416,0.0005884643117
memorization_03_no_regularization_plus_t_one_oversample,4,18,0,0.4172201157,0.4171935916,2.652406693e-05,6.357331761e-05
memorization_03_no_regularization_plus_t_one_oversample,4,19,0,0.2668915391,0.2669440508,-5.251169205e-05,-0.000196752929
memorization_03_no_regularization_plus_t_one_oversample,4,20,0,0.03643610701,0.03645660728,-2.050027251e-05,-0.0005626361924
memorization_03_no_regularization_plus_t_one_oversample,4,21,0,0.5145412683,0.5143431425,0.0001981258392,0.0003850533503
memorization_03_no_regularization_plus_t_one_oversample,4,22,0,1.193644285,1.193748474,-0.0001041889191,-8.728640547e-05
memorization_03_no_regularization_plus_t_one_oversample,4,23,0,0.3453829885,0.3454768062,-9.381771088e-05,-0.00027163385
memorization_03_no_regularization_plus_t_one_oversample,4,24,0,0.3503594995,0.3503032327,5.626678467e-05,0.0001605972858
memorization_03_no_regularization_plus_t_one_oversample,4,25,0,0.5269067883,0.5266762376,0.000230550766,0.0004375551257
memorization_03_no_regularization_plus_t_one_oversample,4,26,0,0.7792749405,0.7791750431,9.989738464e-05,0.0001281927333
memorization_03_no_regularization_plus_t_one_oversample,4,27,0,0.4060673416,0.4061356783,-6.833672523e-05,-0.0001682891438
memorization_03_no_regularization_plus_t_one_oversample,4,28,0,0.8241855502,0.8242611289,-7.557868958e-05,-9.170106119e-05
memorization_03_no_regularization_plus_t_one_oversample,4,29,0,0.1264764071,0.1265187114,-4.230439663e-05,-0.0003344844909
memorization_03_no_regularization_plus_t_one_oversample,4,30,0,0.4651627243,0.4651696086,-6.884336472e-06,-1.479984554e-05
