step_batch,eval_batch_0,eval_batch_1,eval_batch_2,eval_batch_3,eval_batch_4,eval_batch_5,eval_batch_6,eval_batch_7,eval_batch_8,eval_batch_9,eval_batch_10,eval_batch_11,eval_batch_12,eval_batch_13,eval_batch_14,eval_batch_15,eval_batch_16,eval_batch_17,eval_batch_18,eval_batch_19,eval_batch_20,eval_batch_21,eval_batch_22,eval_batch_23,eval_batch_24,eval_batch_25,eval_batch_26,eval_batch_27,eval_batch_28,eval_batch_29,eval_batch_30,eval_batch_31,eval_batch_32,eval_batch_33
0,0.0002967715263,9.137392044e-05,5.981326103e-05,1.183152199e-05,0.0002176761627,-1.302361488e-05,1.433491707e-05,-9.521842003e-05,0.0002135932446,7.912516594e-05,4.041194916e-05,2.977252007e-05,-0.001036167145,-0.0001512169838,2.247095108e-05,3.93986702e-05,-0.0001220703125,8.541345596e-05,5.379319191e-05,-1.728534698e-06,-1.506507397e-05,7.295608521e-05,-0.0001091957092,-9.578466415e-05,9.894371033e-05,0.0001442432404,9.632110596e-05,-8.016824722e-05,-1.758337021e-05,-5.079805851e-05,-6.13629818e-05,9.965896606e-05,2.437829971e-05,-0.0001373887062
1,5.149841309e-05,0.0007887780666,3.206729889e-05,8.344650269e-06,0.000175178051,3.188848495e-06,1.771748066e-05,-9.745359421e-05,0.0001809597015,5.066394806e-06,3.117322922e-05,2.571940422e-05,-0.0008054673672,-0.0001484751701,4.917383194e-05,5.835294724e-05,-4.869699478e-05,8.01384449e-05,-2.372264862e-05,-1.299381256e-05,-2.235174179e-07,3.910064697e-05,-0.0001188516617,-3.230571747e-05,0.0001218020916,0.000138938427,5.251169205e-05,-2.336502075e-05,-6.544589996e-05,-4.097819328e-05,-5.465745926e-05,2.530217171e-05,6.198883057e-06,-9.06586647e-05
2,6.169080734e-05,7.688999176e-05,0.0006265342236,4.678964615e-06,0.0002624988556,-7.688999176e-06,-9.298324585e-06,-5.650520325e-05,0.0001807808876,-1.642107964e-05,3.039836884e-05,2.509355545e-05,-0.0006674975157,-0.0002584159374,-2.461671829e-05,7.653236389e-05,-0.0002340078354,4.416704178e-05,0.0001201927662,-2.792477608e-05,-3.211572766e-05,0.0001411437988,-0.0001087188721,-6.926059723e-05,4.255771637e-05,0.0001655220985,0.0001296401024,-7.957220078e-06,-0.000107228756,-2.613663673e-05,-3.808736801e-05,2.402067184e-05,7.820129395e-05,-0.0001248121262
3,4.613399506e-05,0.0001128017902,6.622076035e-05,0.0005897581577,0.0001905560493,5.403161049e-05,2.330541611e-05,-6.940960884e-05,0.0001678466797,-0.000412851572,-3.82065773e-05,8.404254913e-06,-0.0009810477495,-0.0001101493835,4.577636719e-05,-4.33921814e-05,-0.0002743601799,9.778141975e-05,9.360909462e-05,-2.896785736e-05,-8.299946785e-06,0.0001701712608,-8.606910706e-05,8.058547974e-05,0.0001250207424,0.0001550912857,-0.000544667244,-2.932548523e-05,-2.902746201e-05,-3.851950169e-05,-1.767277718e-05,0.0002326071262,7.021427155e-05,-0.0002423524857
4,6.687641144e-05,7.572770119e-05,0.0001235604286,-1.236796379e-05,0.001029312611,4.172325134e-07,2.443790436e-05,-0.0001028776169,0.0002510249615,6.556510925e-07,-2.986192703e-05,3.457069397e-05,-0.001028224826,-0.0002262890339,-2.074241638e-05,4.67300415e-05,-0.0001789927483,0.0001981556416,2.652406693e-05,-5.251169205e-05,-2.050027251e-05,0.0001981258392,-0.0001041889191,-9.381771088e-05,5.626678467e-05,0.000230550766,9.989738464e-05,-6.833672523e-05,-7.557868958e-05,-4.230439663e-05,-6.884336472e-06,0.0001613497734,5.185604095e-05,-0.0002143979073
5,4.017353058e-05,0.0001173913479,3.755092621e-05,2.402067184e-05,0.0002017021179,0.000571846962,1.484155655e-05,-9.73045826e-05,0.0002349019051,6.729364395e-05,0.0001072883606,-7.778406143e-06,-0.0009949803352,-0.0001268684864,-5.066394806e-06,6.496906281e-06,-0.0002089738846,7.030367851e-05,-2.533197403e-06,-1.987814903e-05,-1.10603869e-05,8.285045624e-06,-0.0001076459885,-8.380413055e-05,7.292628288e-05,0.0001313090324,0.0001055002213,-0.0001112222672,-6.818771362e-05,-3.734230995e-05,-6.377696991e-05,1.132488251e-06,3.153085709e-05,-0.0001255869865
6,4.84585762e-05,0.0001048445702,2.431869507e-05,1.421570778e-05,0.0002142190933,-7.36117363e-06,0.0001780241728,-8.976459503e-05,0.0002210438251,2.446770668e-05,-2.282857895e-05,3.004074097e-05,-0.0009176135063,-0.0001550316811,1.430511475e-05,4.243850708e-05,-0.0001327991486,8.517503738e-05,-5.483627319e-06,-2.112984657e-05,-2.628192306e-05,4.082918167e-05,-0.0001301765442,-6.490945816e-05,9.635090828e-05,0.0001503825188,7.700920105e-05,-5.64455986e-05,-6.198883057e-05,-6.206333637e-05,-3.254413605e-05,0.0001301467419,-3.576278687e-07,-0.0001017451286
7,3.36766243e-05,6.9886446e-05,6.559491158e-05,5.960464478e-06,0.0001665949821,-2.732872963e-05,4.827976227e-06,0.0002214312553,0.000190615654,-9.414553642e-05,-1.949071884e-05,5.5372715e-05,-0.0003065466881,-0.000155121088,-7.092952728e-06,5.757808685e-05,-0.0001602768898,6.046891212e-05,8.988380432e-05,-5.581974983e-05,-2.570077777e-05,8.481740952e-05,-0.0001449584961,-3.576278687e-05,6.374716759e-05,0.0001544356346,9.196996689e-05,1.537799835e-05,-0.0001020431519,-4.409253597e-05,-7.957220078e-05,3.716349602e-05,3.516674042e-05,-7.647275925e-05
8,5.513429642e-05,7.650256157e-05,2.089142799e-05,-2.813339233e-05,0.0002471208572,2.202391624e-05,2.729892731e-05,-0.0001012384892,0.0008769035339,0.0002583563328,2.002716064e-05,2.095103264e-05,-0.001337528229,-0.0002155005932,-9.196996689e-05,3.254413605e-05,-0.000306725502,9.959936142e-05,-2.971291542e-05,-4.878640175e-05,-7.376074791e-06,1.293420792e-05,-0.0002291202545,-0.000187009573,5.677342415e-05,0.0001591444016,0.0001892447472,-7.119774818e-05,-4.005432129e-05,-5.74439764e-05,-8.833408356e-05,0.0001721680164,2.688169479e-05,-0.0001432299614
9,6.514787674e-05,8.78572464e-05,2.619624138e-05,-6.434321404e-05,0.0001803636551,6.675720215e-06,1.636147499e-05,-9.867548943e-05,0.0002573728561,0.002028852701,6.985664368e-05,1.022219658e-05,-0.0008219927549,-0.0002951622009,2.074241638e-05,6.914138794e-05,-4.994869232e-05,4.196166992e-05,1.081824303e-05,-1.588463783e-05,-8.530914783e-06,-1.728534698e-06,-0.0002021789551,-0.0005623996258,6.559491158e-05,0.0001382827759,0.0005659461021,-0.0001139342785,5.167722702e-05,-5.914270878e-05,-5.868077278e-05,0.0001892447472,2.080202103e-05,-0.0001069903374
