arm,step_batch,step_train_loss,self_pre_loss,self_post_loss,self_delta,other_count,other_improved,other_hurt,other_unchanged,mean_other_delta,median_other_delta,sum_other_delta,worst_other_delta,worst_other_batch,best_other_delta,best_other_batch,net_delta_all_batches
memorization_03_no_regularization_plus_t_one_oversample,0,0.7085897326,0.7085579634,0.7082611918,0.0002967715263,33,19,14,0,-1.488671158e-05,2.247095108e-05,-0.0004912614822,-0.001036167145,12,0.0002176761627,4,-0.0001944899559
memorization_03_no_regularization_plus_t_one_oversample,1,0.3643420935,0.3644303679,0.3636415899,0.0007887780666,33,19,14,0,-1.396554889e-05,6.198883057e-06,-0.0004608631134,-0.0008054673672,12,0.0001809597015,8,0.0003279149532
memorization_03_no_regularization_plus_t_one_oversample,2,0.2774430513,0.2775094509,0.2768829167,0.0006265342236,33,16,17,0,-1.068740632e-05,-7.688999176e-06,-0.0003526844084,-0.0006674975157,12,0.0002624988556,4,0.0002738498151
memorization_03_no_regularization_plus_t_one_oversample,3,0.4938372374,0.4938513935,0.4932616353,0.0005897581577,33,17,16,0,-3.679277319e-05,8.404254913e-06,-0.001214161515,-0.0009810477495,12,0.0002326071262,31,-0.0006244033575
memorization_03_no_regularization_plus_t_one_oversample,4,0.535158813,0.5351589918,0.5341296792,0.001029312611,33,17,16,0,-1.912575328e-05,4.172325134e-07,-0.0006311498582,-0.001028224826,12,0.0002510249615,8,0.0003981627524
memorization_03_no_regularization_plus_t_one_oversample,5,0.4896524847,0.4896268249,0.4890549779,0.000571846962,33,17,16,0,-2.422307928e-05,1.132488251e-06,-0.0007993616164,-0.0009949803352,12,0.0002349019051,8,-0.0002275146544
memorization_03_no_regularization_plus_t_one_oversample,6,0.144566372,0.14457497,0.1443969458,0.0001780241728,33,16,17,0,-1.728117014e-05,-3.576278687e-07,-0.0005702786148,-0.0009176135063,12,0.0002210438251,8,-0.000392254442
memorization_03_no_regularization_plus_t_one_oversample,7,0.3783182204,0.3782736063,0.378052175,0.0002214312553,33,18,15,0,-1.55412338e-06,5.960464478e-06,-5.128607154e-05,-0.0003065466881,12,0.000190615654,8,0.0001701451838
memorization_03_no_regularization_plus_t_one_oversample,8,0.4898335934,0.4898412824,0.4889643788,0.0008769035339,33,17,16,0,-4.502318122e-05,1.293420792e-05,-0.00148576498,-0.001337528229,12,0.0002583563328,9,-0.0006088614464
memorization_03_no_regularization_plus_t_one_oversample,9,0.4061975479,0.4061502218,0.4041213691,0.002028852701,33,19,14,0,-1.713114254e-05,1.081824303e-05,-0.000565327704,-0.0008219927549,12,0.0005659461021,26,0.001463524997
memorization_03_no_regularization_plus_t_one_oversample,10,0.5203866959,0.5204000473,0.5190153718,0.001384675503,33,19,14,0,1.303095258e-05,1.671910286e-05,0.000430021435,-0.000530615449,12,0.0003517866135,26,0.001814696938
memorization_03_no_regularization_plus_t_one_oversample,11,0.4120322168,0.4120126069,0.4117460251,0.0002665817738,33,16,17,0,-1.417868065e-06,-9.179115295e-06,-4.678964615e-05,-0.0005620270967,12,0.000243127346,4,0.0002197921276
memorization_03_no_regularization_plus_t_one_oversample,12,0.241733849,0.2415925413,0.2378788143,0.003713726997,33,21,12,0,1.665983688e-05,1.975893974e-05,0.000549774617,-0.0001798868179,22,0.0001726746559,26,0.004263501614
memorization_03_no_regularization_plus_t_one_oversample,13,0.4684156179,0.4684722126,0.4675717354,0.0009004771709,33,17,16,0,-3.007573612e-05,6.020069122e-06,-0.0009924992919,-0.0006315410137,12,0.000165104866,25,-9.202212095e-05
memorization_03_no_regularization_plus_t_one_oversample,14,0.8904229403,0.8903840184,0.8899233341,0.0004606842995,33,20,13,0,-5.05499316e-06,1.5437603e-05,-0.0001668147743,-0.0007125735283,12,0.0001556277275,4,0.0002938695252
memorization_03_no_regularization_plus_t_one_oversample,15,0.5044131279,0.5044499636,0.504047215,0.0004027485847,33,19,14,0,3.279497226e-06,1.159310341e-05,0.0001082234085,-0.0004727095366,12,0.0003563165665,26,0.0005109719932
memorization_03_no_regularization_plus_t_one_oversample,16,0.5158470869,0.5159143209,0.5139014125,0.002012908459,33,16,17,0,-7.329113556e-06,-4.857778549e-06,-0.0002418607473,-0.0002093315125,18,0.0002733767033,9,0.001771047711
memorization_03_no_regularization_plus_t_one_oversample,17,0.3367113471,0.3367334902,0.3362157941,0.0005176961422,33,17,16,0,-1.533927791e-05,1.180171967e-05,-0.000506196171,-0.0009512454271,12,0.0003244876862,4,1.149997115e-05
memorization_03_no_regularization_plus_t_one_oversample,18,0.4172271788,0.4172201157,0.4162985981,0.0009215176105,33,17,16,0,1.176570853e-05,2.27689743e-05,0.0003882683814,-0.0004053115845,16,0.0002833902836,31,0.001309785992
memorization_03_no_regularization_plus_t_one_oversample,19,0.2669127882,0.2668915391,0.2665732801,0.0003182590008,33,18,15,0,-1.542010542e-05,2.056360245e-06,-0.0005088634789,-0.000752300024,12,0.0001570880413,8,-0.0001906044781
memorization_03_no_regularization_plus_t_one_oversample,20,0.03639990836,0.03643610701,0.03632140532,0.0001147016883,33,18,15,0,-1.467087052e-05,6.049871445e-06,-0.0004841387272,-0.0007108747959,12,0.00021225214,8,-0.0003694370389
memorization_03_no_regularization_plus_t_one_oversample,21,0.514647603,0.5145412683,0.5134915113,0.001049757004,33,19,14,0,-5.08208618e-06,1.493096352e-05,-0.0001677088439,-0.0009506493807,12,0.0003311038017,4,0.0008820481598
memorization_03_no_regularization_plus_t_one_oversample,22,1.193601847,1.193644285,1.193109751,0.0005345344543,33,18,15,0,-3.416396e-05,8.583068848e-06,-0.00112741068,-0.001065924764,12,0.0002024769783,4,-0.0005928762257
memorization_03_no_regularization_plus_t_one_oversample,23,0.3454657495,0.3453829885,0.3448485434,0.0005344450474,33,17,16,0,-7.495001862e-05,3.427267075e-07,-0.002473350614,-0.001515001059,9,0.0001545548439,4,-0.001938905567
memorization_03_no_regularization_plus_t_one_oversample,24,0.3503435552,0.3503594995,0.3494036496,0.0009558498859,33,15,18,0,-2.663198746e-05,-7.271766663e-06,-0.0008788555861,-0.0008480250835,12,0.0001835525036,8,7.699429989e-05
memorization_03_no_regularization_plus_t_one_oversample,25,0.5269843936,0.5269067883,0.5264350772,0.0004717111588,33,18,15,0,-1.925038117e-05,9.86456871e-06,-0.0006352625787,-0.0007619857788,12,0.0003064274788,4,-0.00016355142
memorization_03_no_regularization_plus_t_one_oversample,26,0.7793074846,0.7792749405,0.7773303986,0.001944541931,33,17,16,0,-6.913122806e-06,4.202127457e-06,-0.0002281330526,-0.0005560219288,12,0.0007307827473,9,0.001716408879
memorization_03_no_regularization_plus_t_one_oversample,27,0.4061023891,0.4060673416,0.4051947892,0.0008725523949,33,18,15,0,-2.840590296e-06,2.220273018e-06,-9.373947978e-05,-0.0002809166908,9,0.0001768767834,8,0.0007788129151
memorization_03_no_regularization_plus_t_one_oversample,28,0.8242239952,0.8241855502,0.8234807849,0.0007047653198,33,20,13,0,1.125229579e-05,3.468990326e-05,0.0003713257611,-0.0008577853441,12,0.0005075335503,9,0.001076091081
memorization_03_no_regularization_plus_t_one_oversample,29,0.126505211,0.1264764071,0.1261597574,0.0003166496754,33,19,14,0,-7.212162018e-06,1.907348633e-05,-0.0002380013466,-0.0009081214666,12,0.0002089142799,8,7.864832878e-05
memorization_03_no_regularization_plus_t_one_oversample,30,0.4652065337,0.4651627243,0.4646918774,0.0004708468914,33,19,14,0,-2.165443518e-05,6.675720215e-06,-0.0007145963609,-0.0008840411901,12,0.000230550766,4,-0.0002437494695
memorization_03_no_regularization_plus_t_one_oversample,31,0.3135327399,0.3135044873,0.3119355142,0.001568973064,33,20,13,0,-1.879713752e-05,4.005432129e-05,-0.0006203055382,-0.001169264317,12,0.0004565417767,9,0.0009486675262
memorization_03_no_regularization_plus_t_one_oversample,32,0.569060564,0.5690794587,0.5685831308,0.000496327877,33,20,13,0,1.366820299e-05,2.819299698e-05,0.0004510506988,-0.0005158632994,12,0.0002279877663,8,0.0009473785758
memorization_03_no_regularization_plus_t_one_oversample,33,0.5708240271,0.5709459782,0.5694137812,0.001532196999,33,15,18,0,-1.005320386e-05,-8.940696716e-07,-0.0003317557275,-0.0003174841404,31,0.00032761693,12,0.001200441271
